Date,Open,High,Low,Close,Volume,Ticker
2019-01-01,155.90432739257812,155.90432739257812,155.90432739257812,155.90432739257812,0,JKH-N0000.CM
2019-01-02,155.2209682223163,155.2209682223163,154.24473571777344,154.24473571777344,2223,JKH-N0000.CM
2019-01-03,154.24474145196805,154.24474145196805,153.2685089111328,153.2685089111328,1016548,JKH-N0000.CM
2019-01-04,153.26849084278894,154.1470940675143,151.41365519231334,153.75660705566406,1334,JKH-N0000.CM
2019-01-07,153.26847416047127,153.26847416047127,151.31600952148438,151.31600952148438,1282390,JKH-N0000.CM
2019-01-08,151.31604578587917,150.33981323242188,148.87546440223593,150.33981323242188,1205464,JKH-N0000.CM
2019-01-09,150.8279317953086,151.3160480794358,149.36358294292694,149.46121215820312,56062,JKH-N0000.CM
2019-01-10,149.36358642578125,150.33981901679942,148.38735383476308,149.36358642578125,1399242,JKH-N0000.CM
2019-01-11,148.77784091271945,151.3160516078176,148.77784091271945,149.36358642578125,1149202,JKH-N0000.CM
2019-01-14,149.36358642578125,151.3160516078176,148.87547013027216,149.36358642578125,2104230,JKH-N0000.CM
2019-01-15,149.36358642578125,149.36358642578125,149.36358642578125,149.36358642578125,0,JKH-N0000.CM
2019-01-16,148.87547243556548,147.89923982943063,148.4849853515625,148.4849853515625,7316,JKH-N0000.CM
2019-01-17,150.3398559965362,151.31608882768253,148.38739033424352,150.82797241210938,280056,JKH-N0000.CM
2019-01-18,151.31608882768253,150.82797241210938,150.82797241210938,150.82797241210938,1098886,JKH-N0000.CM
2019-01-21,151.31608882768253,150.82797241210938,150.3398559965362,150.82797241210938,2502653,JKH-N0000.CM
2019-01-22,150.73032747018212,150.82795670157986,148.3873748779297,148.3873748779297,67237,JKH-N0000.CM
2019-01-23,150.33981901679942,150.33981901679942,148.38735383476308,149.36358642578125,7794,JKH-N0000.CM
2019-01-24,149.36358294292694,150.33981551118137,148.38735037467254,149.46121215820312,333440,JKH-N0000.CM
2019-01-25,150.3398559965362,153.26855448997523,150.24222675496924,150.82797241210938,1757122,JKH-N0000.CM
2019-01-28,153.2685089111328,153.75662518155042,151.31604382946233,153.2685089111328,123748,JKH-N0000.CM
2019-01-29,153.2685170382624,155.80672773747432,153.2685170382624,155.51385498046875,91073,JKH-N0000.CM
2019-01-30,153.7566087279308,154.53759765625,154.53759765625,154.53759765625,768340,JKH-N0000.CM
2019-01-31,154.2447239280048,154.2447239280048,151.31602663823256,154.1470947265625,218914,JKH-N0000.CM
2019-02-01,154.24476271409256,154.24476271409256,152.29229736328125,152.29229736328125,1264048,JKH-N0000.CM
2019-02-04,152.29229736328125,152.29229736328125,152.29229736328125,152.29229736328125,0,JKH-N0000.CM
2019-02-05,152.29229736328125,152.38992658927322,151.80418102557843,152.29229736328125,1628304,JKH-N0000.CM
2019-02-06,152.29224948792125,154.24471422494588,152.29224948792125,153.1708526611328,7714,JKH-N0000.CM
2019-02-07,154.24476271409256,152.29229736328125,152.29229736328125,152.29229736328125,780814,JKH-N0000.CM
2019-02-08,152.29229736328125,154.24476271409256,152.29229736328125,152.29229736328125,503488,JKH-N0000.CM
2019-02-11,152.29226629016063,154.14710203652652,152.29226629016063,153.9518585205078,53638,JKH-N0000.CM
2019-02-12,154.14696282103642,150.53032805213516,150.53032805213516,151.2145538330078,16556,JKH-N0000.CM
2019-02-13,151.0190540165096,150.5303192138672,150.5303192138672,150.5303192138672,20477,JKH-N0000.CM
2019-02-14,151.0190037034622,151.0190037034622,150.04153442382812,150.04153442382812,11237,JKH-N0000.CM
2019-02-15,150.53033628535908,150.53033628535908,149.55286656922038,149.65061950683594,944520,JKH-N0000.CM
2019-02-18,150.53029537824244,150.53029537824244,149.55282592773438,149.55282592773438,37359,JKH-N0000.CM
2019-02-19,149.55282592773438,149.55282592773438,149.55282592773438,149.55282592773438,0,JKH-N0000.CM
2019-02-20,149.55284960858233,151.31229788109556,150.5303192138672,150.5303192138672,262375,JKH-N0000.CM
2019-02-21,151.01903010349648,151.01903010349648,149.55282592773438,149.55282592773438,9514,JKH-N0000.CM
2019-02-22,150.041558274945,152.48523186248482,149.55282355743705,151.01902770996094,188238,JKH-N0000.CM
2019-02-25,151.50776202164363,152.48523145404133,149.55282315684823,151.31227111816406,638399,JKH-N0000.CM
2019-02-26,150.530337639309,152.38752415067535,149.55286791437842,151.60556030273438,115206,JKH-N0000.CM
2019-02-27,151.5077619914767,154.44017028808594,151.5077619914767,154.44017028808594,146064,JKH-N0000.CM
2019-02-28,154.44018305954887,155.90638732910156,146.71817987257188,155.90638732910156,5057230,JKH-N0000.CM
2019-03-01,153.2672147395525,155.4176445745653,155.4176445745653,151.5077667236328,14931,JKH-N0000.CM
2019-03-04,151.5077667236328,151.5077667236328,151.5077667236328,151.5077667236328,0,JKH-N0000.CM
2019-03-05,152.48522288328522,154.44016163819916,152.48522288328522,153.4626922607422,4528154,JKH-N0000.CM
2019-03-06,152.48523378219846,153.36495031878803,151.5077643348767,152.97396850585938,2004766,JKH-N0000.CM
2019-03-07,152.48523378219846,152.97396850585938,152.48523378219846,152.97396850585938,2747734,JKH-N0000.CM
2019-03-08,152.58303002766496,152.48527708917015,151.60556030273438,151.60556030273438,17580,JKH-N0000.CM
2019-03-11,153.46270564909906,153.46270564909906,151.5077667236328,151.5077667236328,311146,JKH-N0000.CM
2019-03-12,151.50778881915204,151.50778881915204,148.57538000329748,150.5303192138672,232781,JKH-N0000.CM
2019-03-13,150.0415447200424,150.5302793933976,146.6204020065561,146.71815490722656,78463,JKH-N0000.CM
2019-03-14,148.5753936767578,149.55286337199965,146.62045428627417,148.5753936767578,838702,JKH-N0000.CM
